"","dcirnum","q1a","q1b","q1c","q1d","q1e","q1f","q1g","q2a","q2b","q2c","q2d","q3zp","q4popserv","q5state","q6ftemp","q7fcap","q8mfi5yrs","q9wdp","q10wmfp","q11nims","q12cpg","q13srwp","q14a","q14b","q14c","q14d","q14e","q14f","q14g","q14h","q14i","q14j","q14k","q14l","q15a","q15b","q15c","q15d","q15e","q15f","q15g","q16a","q16b","q16c","q16d","q17a","q17b","q17c","q17d","q17e","q17f","q17g","q17h","q17i","q17j","q17k","q17l","q17m","q17n","q18a","q18b","q19a","q19b","q20drills","q21sroster","q22wmfi","q23wcbrne","q24amfi","q25acbrne","q26preeventp","q27wprep","q28jprep","q29a","q29b","q29c","q29d","q29e","q29f","q29g","q29h","q29i","q29j","q29k","q30fema","q31ua","q32js"
"59",59,1,0,0,0,0,0,0,0,1,0,0,"15232",99,42,3,1,0,99,0,99,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,10,6,6,6,1,1,99,0,1,1,1,0,1,1,0,0,0,0,3,99,99
"60",60,1,0,0,0,0,0,0,0,1,0,0,"47970",1,17,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,11,11,11,11,11,4,3,1,1,0,0,1,1,0,0,0,0,0,5,0,0
"61",61,1,0,0,0,0,0,0,0,1,0,0,"26836",1,54,1,1,0,0,0,88,88,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,2,2,1,0,1,0,10,9,10,9,8,1,3,0,1,1,0,0,0,1,0,0,0,0,3,0,0
"62",62,1,0,1,0,0,0,0,0,1,0,0,"02885",3,44,1,1,0,0,0,88,88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,11,11,11,1,11,2,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1
"63",63,1,0,0,0,0,0,0,0,1,0,0,"13212",2,35,1,1,0,1,0,88,88,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,10,9,10,9,11,4,4,1,0,0,0,0,0,0,0,1,0,0,2,0,1
"64",64,1,0,0,0,0,0,0,0,1,0,0,"46148",1,17,1,1,0,0,0,99,99,99,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,0,0,0,6,6,11,6,6,1,99,0,1,1,0,1,1,1,0,0,0,0,5,0,0
"65",65,1,0,0,0,0,0,0,0,1,0,0,"66451",1,19,1,1,0,0,0,88,88,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,2,2,0,0,0,0,11,10,11,8,1,2,4,0,1,0,0,0,0,0,0,0,0,0,7,0,0
"66",66,1,0,0,0,0,0,0,0,1,0,0,"19060",2,42,2,1,0,0,0,88,88,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6,4,11,5,1,1,1,1,1,1,0,1,0,0,0,0,0,0,3,0,1
"67",67,1,0,0,0,0,0,0,0,1,0,0,"30176",1,12,3,1,0,1,0,88,88,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,11,1,11,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0
"68",68,1,0,1,0,0,0,0,0,1,0,0,"45806",3,39,2,2,0,1,0,88,88,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,99,0,0,11,9,11,9,9,3,4,0,1,1,0,1,1,0,0,0,0,0,5,1,1
